folder_index,image_index,lows,highs,means,shape
0,0,[1205. 1312. 1176. 1253. 1134. 1280. 1160. 1496.],[2660. 3024. 3338. 5024. 2720. 3036. 3202. 5004.],"[1410.44320674 1610.31764872 1441.36261453 3915.77640334 1404.88739441
 1634.79972675 1486.78769465 3829.96697765]","(1489, 1488, 8)"
1,1,[1279. 1415. 1226. 1474. 1201. 1406. 1233. 1107.],[2630. 2816. 2954. 5136. 2170. 2388. 2608. 5000.],"[1632.11969497 1823.26054003 1691.02760778 3861.04980502 1427.29401769
 1686.21654129 1540.60039188 3740.0295158 ]","(1203, 1295, 8)"
0,2,[1143. 1306. 1151. 1793. 1279. 1456. 1268. 1807.],[3824. 3878. 3938. 5675. 2870. 3254. 3680. 4707.],"[1618.86342992 1862.72951757 1790.40840431 3804.22409221 1672.58307195
 1902.50222394 1849.54780176 3677.81601089]","(2099, 2274, 8)"
1,3,[1294. 1412. 1281. 1302. 1285. 1396. 1280. 1396.],[3712.  3800.  3898.4 5272.  2908.  3102.  3310.  5072. ],"[1852.04652676 2011.46464816 1959.57483122 3162.00936924 1723.53457659
 1882.26975624 1823.27806585 3100.90371302]","(519, 519, 8)"
1,4,[1316. 1457. 1282. 1422. 1233. 1406. 1237. 1516.],[2824.   3045.96 3260.   5496.   2750.   2892.   3090.   5388.  ],"[1653.5376106  1861.63272071 1737.38808116 3579.20583442 1598.44339639
 1830.19195229 1702.36149862 3609.36041928]","(533, 473, 8)"
0,5,[1386. 1465. 1356. 1277. 1312. 1462. 1309. 1229.],[3394.   3556.   3792.   4480.   3286.   3344.   3474.24 4264.  ],"[1889.64993791 1996.06998924 1947.64705688 2317.55973177 1816.15767862
 1919.14868781 1878.60867621 2234.91428098]","(236, 258, 8)"
0,6,[1458. 1535. 1392. 1374. 1178. 1306. 1187. 1203.],[4018.   4232.   4430.32 4776.   4312.   4462.32 4552.   4944.  ],"[2195.74094002 2333.01445087 2386.76838642 2993.60062313 2020.59821465
 2175.92905752 2223.24443488 2913.08973886]","(284, 348, 8)"
0,7,[ 144.  319.  172. 1491.  142.  317.  173. 1387.],[1210. 1614. 2040. 4224. 1324. 1691. 2114. 4194.],"[ 370.23111342  591.93161984  512.22813787 3171.82149441  367.9122049
  580.66698879  509.22268639 3133.19307181]","(3486, 8476, 8)"
0,8,[ 165.  310.  182.  984.  156.  305.  174. 1282.],[1212. 1603. 1980. 4603. 1349. 1740. 2108. 4203.],"[ 333.63123089  560.82828254  469.28213649 3169.99362088  371.93803301
  590.68102901  501.9259517  3015.43744144]","(3486, 8476, 8)"
0,9,[ 156.  305.  174. 1282.  166.  328.  179. 1409.],[1349. 1740. 2108. 4203. 1293. 1620. 1957. 4127.],"[ 371.93803301  590.68102901  501.9259517  3015.43744144  417.6901271
  614.21487715  523.2786075  3055.45794413]","(3486, 8476, 8)"
0,10,[ 166.  328.  179. 1409.  124.  302.  162. 1436.],[1293. 1620. 1957. 4127. 1347. 1763. 2150. 4523.],"[ 417.6901271   614.21487715  523.2786075  3055.45794413  388.3008165
  610.06759334  540.12631101 3267.74798564]","(3486, 8476, 8)"
